Wall time,Step,Value
1677208279.307541,81300,-0.2980000078678131
1677208824.10488,81500,-0.19900000095367432
1677209094.224684,81600,-0.24400000274181366
1677209639.569036,81800,-0.24400000274181366
1677209911.737829,81900,-0.19900000095367432
1677211278.819797,82100,-0.21700000762939453
1677211805.655984,82300,-0.19900000095367432
1677212612.444104,82600,-0.20800000429153442
1677212882.82507,82700,-0.19900000095367432
1677213689.156962,83000,-0.3970000147819519
1677214231.324068,83200,-0.19900000095367432
1677214504.877158,83300,-0.19900000095367432
1677214775.629801,83400,-0.19900000095367432
1677215320.760507,83600,-0.19900000095367432
1677215595.397491,83700,-0.19900000095367432
1677215865.263417,83800,-0.2709999978542328
1677217568.051072,84100,-0.2800000011920929
1677217837.685954,84200,-0.23499999940395355
1677218374.10196,84400,-0.4059999883174896
1677218913.384694,84600,-0.2980000078678131
1677219187.112152,84700,-0.19900000095367432
1677219987.048816,85000,-0.5680000185966492
1677220394.440797,85145,-0.04500000178813934
1677220667.955088,85245,-0.19900000095367432
1677220938.777977,85345,-0.23499999940395355
1677221485.372245,85545,-0.19900000095367432
1677221757.464584,85645,-0.23499999940395355
1677222024.48311,85745,-0.3160000145435333
1677222281.13557,85845,-0.5680000185966492
1677222554.978825,85945,-0.19900000095367432
1677223785.288208,86100,-0.19900000095367432
1677224059.383835,86200,-0.20800000429153442
1677224332.842835,86300,-0.19900000095367432
1677224597.150606,86400,-0.4059999883174896
1677224870.953886,86500,-0.19900000095367432
1677225138.378252,86600,-0.289000004529953
1677225684.808385,86800,-0.19900000095367432
1677225944.321995,86900,-0.5049999952316284
1677226487.354962,87100,-0.19900000095367432
1677227036.679794,87300,-0.19900000095367432
1677227307.670265,87400,-0.22600001096725464
1677228131.469514,87700,-0.19900000095367432
1677228404.301745,87800,-0.21700000762939453
1677228951.835241,88000,-0.19900000095367432
1677230023.874019,88100,-0.19900000095367432
1677230290.259567,88200,-0.2709999978542328
1677230557.550542,88300,-0.2529999911785126
